INFO:root:Code: BCH.63.45
INFO:root:mRRD Size 1, 10
INFO:root:Loss: 0.077860
INFO:root:Loss: 0.084683
INFO:root:Loss: 0.085808
INFO:root:Loss: 0.085735
INFO:root:Loss: 0.092649
INFO:root:Loss: 0.111949
INFO:root:Loss: 0.099432
INFO:root:Loss: 0.098982
INFO:root:Loss: 0.093073
INFO:root:Loss: 0.089163
INFO:root:Loss: 0.097900
INFO:root:Loss: 0.100972
INFO:root:Loss: 0.084837
INFO:root:Loss: 0.101394
INFO:root:Loss: 0.090346
INFO:root:Loss: 0.087074
INFO:root:Loss: 0.085595
INFO:root:Loss: 0.078799
INFO:root:Loss: 0.098001
INFO:root:Loss: 0.094970
INFO:root:Loss: 0.093173
INFO:root:Loss: 0.088930
INFO:root:Loss: 0.079494
INFO:root:EPOCH: 3
INFO:root:Loss: 0.069461
INFO:root:Loss: 0.092951
INFO:root:Loss: 0.081811
INFO:root:Loss: 0.093226
INFO:root:Loss: 0.089124
INFO:root:Loss: 0.109073
INFO:root:Loss: 0.093397
INFO:root:Loss: 0.097773
INFO:root:Loss: 0.091623
INFO:root:Loss: 0.091687
INFO:root:Loss: 0.099369
INFO:root:Loss: 0.088943
INFO:root:Loss: 0.083925
INFO:root:Loss: 0.092344
INFO:root:Loss: 0.086631
INFO:root:Loss: 0.092562
INFO:root:Loss: 0.093730
INFO:root:Loss: 0.082088
INFO:root:Loss: 0.100219
INFO:root:Loss: 0.103631
INFO:root:Loss: 0.088727
INFO:root:Loss: 0.081922
INFO:root:Loss: 0.077247
INFO:root:Loss: 0.093167
INFO:root:Loss: 0.087883
INFO:root:Loss: 0.090997
INFO:root:Loss: 0.089498
INFO:root:Loss: 0.097001
INFO:root:Loss: 0.087218
INFO:root:Loss: 0.087168
INFO:root:Loss: 0.102128
INFO:root:Loss: 0.098128
INFO:root:Loss: 0.074270
INFO:root:Loss: 0.085226
INFO:root:Loss: 0.096305
INFO:root:Loss: 0.068523
INFO:root:Loss: 0.094693
INFO:root:Loss: 0.090444
INFO:root:Loss: 0.100268
INFO:root:Loss: 0.083426
INFO:root:Loss: 0.088904
INFO:root:Loss: 0.084335
INFO:root:Loss: 0.091265
INFO:root:Loss: 0.086818
INFO:root:Loss: 0.079321
INFO:root:Loss: 0.068779
INFO:root:Loss: 0.101724
INFO:root:Loss: 0.079247
INFO:root:Loss: 0.092097
INFO:root:Loss: 0.080767
INFO:root:Loss: 0.095222
INFO:root:Loss: 0.092509
INFO:root:Loss: 0.080667
INFO:root:Loss: 0.100240
INFO:root:Loss: 0.101115
INFO:root:Loss: 0.099668
INFO:root:Loss: 0.085148
INFO:root:Loss: 0.078726
INFO:root:Loss: 0.083769
INFO:root:Loss: 0.106374
INFO:root:Loss: 0.092243
INFO:root:Loss: 0.107625
INFO:root:Loss: 0.078716
INFO:root:Loss: 0.089359
INFO:root:Loss: 0.109190
INFO:root:Loss: 0.098848
INFO:root:Loss: 0.086195
INFO:root:Loss: 0.080620
INFO:root:Loss: 0.085878
INFO:root:Loss: 0.090074
INFO:root:Loss: 0.091314
INFO:root:Loss: 0.092164
INFO:root:Loss: 0.068136
INFO:root:Loss: 0.080616
INFO:root:Loss: 0.094753
INFO:root:Loss: 0.096090
INFO:root:Loss: 0.105726
INFO:root:Loss: 0.077282
INFO:root:Loss: 0.087047
INFO:root:Loss: 0.089249
INFO:root:Loss: 0.085881
INFO:root:Loss: 0.094814
INFO:root:Loss: 0.117580
INFO:root:Loss: 0.101000
INFO:root:Loss: 0.097247
INFO:root:Loss: 0.094421
INFO:root:Loss: 0.089277
INFO:root:Loss: 0.093922
INFO:root:Loss: 0.098286
INFO:root:Loss: 0.088165
INFO:root:Loss: 0.105413
INFO:root:Loss: 0.086206
INFO:root:Loss: 0.088860
INFO:root:Loss: 0.084439
INFO:root:Loss: 0.075834
INFO:root:Loss: 0.096754
INFO:root:Loss: 0.091235
INFO:root:Loss: 0.100282
INFO:root:Loss: 0.095149
INFO:root:Loss: 0.082111
INFO:root:EPOCH: 4
INFO:root:Loss: 0.072757
INFO:root:Loss: 0.088476
INFO:root:Loss: 0.076055
INFO:root:Loss: 0.092001
INFO:root:Loss: 0.086791
INFO:root:Loss: 0.106111
INFO:root:Loss: 0.095470
INFO:root:Loss: 0.092430
INFO:root:Loss: 0.087151
INFO:root:Loss: 0.092727
INFO:root:Loss: 0.098048
INFO:root:Loss: 0.084910
INFO:root:Loss: 0.090630
INFO:root:Loss: 0.097223
INFO:root:Loss: 0.084654
INFO:root:Loss: 0.094361
INFO:root:Loss: 0.089136
INFO:root:Loss: 0.077509
INFO:root:Loss: 0.100442
INFO:root:Loss: 0.099628
INFO:root:Loss: 0.082672
INFO:root:Loss: 0.077344
INFO:root:Loss: 0.077838
INFO:root:Loss: 0.092579
